"Lead time (d)","Input configuration","Predictors","Number of predictors","NSE","KGE","RMSE (m3/s)","MAE (m3/s)","Best validation loss","Train samples","Validation samples","Test samples","Full NSE","Full KGE","Delta NSE vs Full","Delta KGE vs Full"
"7","Fast_only","Qz, Pz, Pi","3","0.9276102966830264","0.9337336221912973","328.9976782309706","181.97981775010962","0.0023142206482589245","3191","731","1461","0.9278070225484918","0.9515648012003004","-0.00019672586546537474","-0.017831179009003106"
"7","Full","Qz, Pz, Tz, Ez, Sz, Pi, Ti, Ei, Si","9","0.9278070225484918","0.9515648012003004","328.5503329446355","193.2032843347611","0.002225847914814949","3191","731","1461","0.9278070225484918","0.9515648012003004","0.0","0.0"
"7","No_snow","Qz, Pz, Tz, Ez, Pi, Ti, Ei","7","0.9263644061214075","0.9581336763267694","331.8167701407688","193.66092840112455","0.0022976885084062815","3191","731","1461","0.9278070225484918","0.9515648012003004","-0.00144261642708432","0.006568875126468976"
"7","No_thermal_evaporative","Qz, Pz, Sz, Pi, Si","5","0.9349845616459637","0.965573144236116","311.7903591481113","184.65225015022753","0.0021233530715107918","3191","731","1461","0.9278070225484918","0.9515648012003004","0.0071775390974718745","0.014008343035815551"
"15","Fast_only","Qz, Pz, Pi","3","0.8474590110879849","0.8386772220225565","477.58174003223763","284.6950407452489","0.004453313071280718","3183","731","1461","0.8599903750433764","0.8340663203706395","-0.01253136395539145","0.00461090165191691"
"15","Full","Qz, Pz, Tz, Ez, Sz, Pi, Ti, Ei, Si","9","0.8599903750433764","0.8340663203706395","457.544543908541","267.08349473602067","0.0038212125655263662","3183","731","1461","0.8599903750433764","0.8340663203706395","0.0","0.0"
"15","No_snow","Qz, Pz, Tz, Ez, Pi, Ti, Ei","7","0.8430212337279184","0.8236258803149296","484.47892576216935","283.3388356046265","0.003408079268410802","3183","731","1461","0.8599903750433764","0.8340663203706395","-0.016969141315458014","-0.010440440055709987"
"15","No_thermal_evaporative","Qz, Pz, Sz, Pi, Si","5","0.8526008610163041","0.853393315413828","469.46358196120354","278.4120059369118","0.004148437641561031","3183","731","1461","0.8599903750433764","0.8340663203706395","-0.00738951402707233","0.019326995043188466"
