Lead time (d),Fast-response total mean_abs_SHAP,Slow/seasonal total mean_abs_SHAP,All-feature total mean_abs_SHAP,Fast-response total contribution (%),Slow/seasonal total contribution (%),Fast-response mean per predictor,Slow/seasonal mean per predictor,Fast/slow per-predictor ratio,Explained test samples,Input lags
1,0.00270238918993101,0.0019179696101813187,0.004620358800112329,58.488730136397855,41.511269863602145,0.00090079639664367,0.00031966160169688644,2.817968726496699,400,90
3,0.0027938117512078422,0.001910464947460472,0.0047042766986683145,59.388763250229594,40.6112367497704,0.0009312705837359474,0.00031841082457674535,2.9247453662225817,400,90
7,0.002035951030910587,0.002085220799903815,0.0041211718308144015,49.402235929295244,50.59776407070476,0.0006786503436368623,0.00034753679998396917,1.9527438350936257,400,90
15,0.001278328457886801,0.0020209866574405523,0.0032993151153273533,38.74526722070823,61.254732779291764,0.000426109485962267,0.00033683110957342537,1.2650538321769236,400,90
